High_regress,Low_regress,Open_regress,Close_regress,High_RNN,Low_RNN,Open_RNN,Close_RNN,Target_high,Target_low
62.90784454345703,61.54615020751953,62.461143493652344,62.16394805908203,0.8678808808326721,0.9056864976882936,0.7628893256187439,0.953993022441864,64.66000366210939,63.75
57.17948913574219,55.78027725219727,56.53852844238281,56.39592361450195,0.9999567270278932,0.999830722808838,0.9999065399169922,0.9998891949653624,64.23999786376953,63.22999954223633
61.60216522216797,60.27013778686523,61.16560363769531,60.866477966308594,0.9999611377716064,0.9998480677604676,0.9998837113380432,0.9998833537101746,64.22000122070311,63.349998474121094
53.23393249511719,51.78897476196289,52.06395721435547,52.76183700561523,0.9999658465385436,0.9998356699943542,0.9999156594276428,0.9998711943626404,64.31999969482422,62.56999969482422
61.20587921142578,59.891029357910156,60.77566146850586,60.48396301269531,0.9999585151672364,0.9998521208763124,0.9998347759246826,0.9998759627342224,62.91999816894531,61.68000030517578
62.4385986328125,61.09290313720703,61.9976692199707,61.70501708984375,0.9999658465385436,0.9998345375061036,0.9999176263809204,0.9998708963394164,63.77999877929688,62.4900016784668
63.172767639160156,61.5348014831543,62.58832550048828,62.4176025390625,0.999969482421875,0.9998416304588318,0.9999074339866638,0.9998589158058168,63.86000061035156,62.52000045776367
56.26106262207031,54.71354293823242,55.42674255371094,55.48198318481445,0.9999702572822572,0.9998435378074646,0.999903440475464,0.9998549222946168,65.04000091552734,62.95000076293945
62.91497802734375,61.63607788085938,62.495567321777344,62.412498474121094,0.999911904335022,0.9995804429054259,0.999796450138092,0.9996176958084106,64.33000183105469,63.11999893188477
59.59478759765625,58.04980087280274,59.04766082763672,59.11996841430664,0.9999728798866272,0.9998444318771362,0.9999021291732788,0.9998427629470824,66.33999633789061,64.01000213623047
59.59478759765625,58.04980087280274,59.04766082763672,59.11996841430664,0.9999668598175048,0.9998423457145692,0.99990576505661,0.999867618083954,52.9000015258789,50.5
59.59478759765625,58.04980087280274,59.04766082763672,59.11996841430664,0.9999638199806212,0.999832808971405,0.9999203085899352,0.9998767971992492,51.9900016784668,50.52000045776367
59.59478759765625,58.04980087280274,59.04766082763672,59.11996841430664,0.9873480796813964,0.9339325428009032,0.9883350133895874,0.937876284122467,52.18000030517578,50.86999893188477
55.1168212890625,53.922447204589844,54.678993225097656,54.421791076660156,0.8888812065124512,0.7345359325408936,0.8684141635894775,0.7093349099159241,50.959999084472656,49.43000030517578
54.69097137451172,53.50165939331055,54.24573516845703,53.9962158203125,0.9989069700241088,0.9929066300392152,0.9995982050895692,0.99433171749115,50.540000915527344,49.4000015258789
59.88966369628906,58.43751907348633,59.381263732910156,59.241065979003906,0.9951701760292052,0.9939476251602172,0.9954508543014526,0.994069516658783,50.91999816894531,49.56999969482422
54.24873352050781,53.06550979614258,53.79712677001953,53.55501174926758,0.999949872493744,0.9997173547744752,0.9999312162399292,0.9997635483741759,51.18000030517578,50.5099983215332
59.59478759765625,58.04980087280274,59.04766082763672,59.11996841430664,0.9962276220321656,0.9956465363502502,0.9964643716812134,0.995749294757843,52.68999862670898,50.849998474121094
55.01268768310547,53.80839920043945,54.43983459472656,54.43241500854492,0.9999588131904602,0.9998193979263306,0.9999080300331116,0.9998749494552612,52.33000183105469,51.4900016784668
55.14013671875,53.92915725708008,54.55816650390625,54.57983779907226,0.9999004602432252,0.9991738200187684,0.999902367591858,0.9990596175193788,53.349998474121094,51.849998474121094
49.3320541381836,47.942298889160156,48.3741683959961,48.95650863647461,0.9999590516090392,0.9996429681777954,0.9998944401741028,0.999490201473236,52.25,51.20000076293945
58.175209045410156,56.86997604370117,57.73889541625977,57.462135314941406,0.9999173283576964,0.9994740486145021,0.9999540448188782,0.9995049238204956,52.08000183105469,51.4000015258789
58.61292266845703,57.36492919921875,58.20602798461914,57.91825866699219,0.9999772310256958,0.9998357892036438,0.9999078512191772,0.9997915625572203,52.02999877929688,51.43999862670898
55.00675964355469,53.83332824707031,54.35581588745117,54.29821395874024,0.9999238848686218,0.9997677803039552,0.9995893239974976,0.9997767806053162,52.83000183105469,51.81000137329102
52.06696319580078,50.55475616455078,51.01679611206055,51.60820007324219,0.9999616742134094,0.9998308420181274,0.9999207258224488,0.9998797774314879,54.0,52.41999816894531
50.681884765625,49.34292984008789,49.94764709472656,50.01551818847656,0.9999608993530272,0.9998260140419006,0.9999276995658876,0.9998751878738404,53.959999084472656,53.06000137329102
58.74999237060547,57.30685424804688,58.24236297607422,58.09902954101562,0.9999640583992004,0.9998332858085632,0.9999181628227234,0.9998749494552612,53.81999969482422,52.41999816894531
59.482322692871094,58.21661758422852,59.06948471069336,58.78500747680664,0.9999592900276184,0.9998251795768738,0.9999292492866516,0.9998723268508912,53.09000015258789,51.9900016784668
59.59355163574219,58.28509521484375,59.15061950683594,59.04458999633789,0.9999603629112244,0.9998297095298768,0.9999213814735411,0.999873161315918,53.209999084472656,52.43000030517578
58.58186340332031,57.4031867980957,58.19584655761719,58.11717224121094,0.9999644160270692,0.9998320937156676,0.9999194741249084,0.9998723268508912,52.97999954223633,51.88999938964844
51.31206512451172,49.83416748046875,50.27790451049805,50.87727737426758,0.9999647736549376,0.9998329877853394,0.9999182224273682,0.9998711347579956,52.88000106811523,51.47999954223633
50.74069213867188,49.49531173706055,50.11502075195313,50.05181121826172,0.999958038330078,0.999822437763214,0.9999343156814576,0.9998725056648254,52.18000030517578,51.38000106811523
55.52532196044922,54.31890869140625,55.083229064941406,54.82352066040039,0.999965488910675,0.9998345971107484,0.9999160766601562,0.9998692274093628,52.66999816894531,51.7599983215332
