High_regress,Low_regress,Open_regress,Close_regress
62.90784454345703,61.54615020751953,62.461143493652344,62.16394805908203
57.17948913574219,55.78027725219727,56.53852844238281,56.39592361450195
61.60216522216797,60.27013778686523,61.16560363769531,60.866477966308594
53.23393249511719,51.78897476196289,52.06395721435547,52.76183700561523
61.20587921142578,59.891029357910156,60.77566146850586,60.48396301269531
62.4385986328125,61.09290313720703,61.9976692199707,61.70501708984375
63.172767639160156,61.5348014831543,62.58832550048828,62.4176025390625
56.26106262207031,54.71354293823242,55.42674255371094,55.48198318481445
62.91497802734375,61.63607788085938,62.495567321777344,62.412498474121094
59.59478759765625,58.04980087280274,59.04766082763672,59.11996841430664
59.59478759765625,58.04980087280274,59.04766082763672,59.11996841430664
59.59478759765625,58.04980087280274,59.04766082763672,59.11996841430664
59.59478759765625,58.04980087280274,59.04766082763672,59.11996841430664
55.1168212890625,53.922447204589844,54.678993225097656,54.421791076660156
54.69097137451172,53.50165939331055,54.24573516845703,53.9962158203125
59.88966369628906,58.43751907348633,59.381263732910156,59.241065979003906
54.24873352050781,53.06550979614258,53.79712677001953,53.55501174926758
59.59478759765625,58.04980087280274,59.04766082763672,59.11996841430664
55.01268768310547,53.80839920043945,54.43983459472656,54.43241500854492
55.14013671875,53.92915725708008,54.55816650390625,54.57983779907226
49.3320541381836,47.942298889160156,48.3741683959961,48.95650863647461
58.175209045410156,56.86997604370117,57.73889541625977,57.462135314941406
58.61292266845703,57.36492919921875,58.20602798461914,57.91825866699219
55.00675964355469,53.83332824707031,54.35581588745117,54.29821395874024
52.06696319580078,50.55475616455078,51.01679611206055,51.60820007324219
50.681884765625,49.34292984008789,49.94764709472656,50.01551818847656
58.74999237060547,57.30685424804688,58.24236297607422,58.09902954101562
59.482322692871094,58.21661758422852,59.06948471069336,58.78500747680664
59.59355163574219,58.28509521484375,59.15061950683594,59.04458999633789
58.58186340332031,57.4031867980957,58.19584655761719,58.11717224121094
51.31206512451172,49.83416748046875,50.27790451049805,50.87727737426758
