Date,NKE,PTON,SFM,BGFV,UNFI,NLS,JOUT,HLF,BFIT
2017-01-03,49.6160774230957,,19.489999771118164,12.698511123657227,47.84000015258789,19.100000381469727,36.15094757080078,24.59499931335449,13.898443222045898
2017-01-04,50.656517028808594,,19.489999771118164,13.113004684448242,48.11999893188477,19.549999237060547,36.42094802856445,25.274999618530273,13.898443222045898
2017-01-05,50.64696884155274,,19.549999237060547,12.359382629394533,47.41999816894531,18.950000762939453,35.20594787597656,24.76499938964844,13.898443222045898
2017-01-06,51.45831298828125,,19.51000022888184,11.869527816772461,47.0099983215332,18.299999237060547,34.260948181152344,25.15500068664551,13.898443222045898
2017-01-09,50.952415466308594,,19.450000762939453,11.75648593902588,47.9000015258789,16.850000381469727,32.79523468017578,24.76499938964844,14.148917198181152
2017-01-10,50.6947021484375,,19.46999931335449,12.32170295715332,49.09000015258789,16.049999237060547,34.59357452392578,24.78000068664551,14.148917198181152
2017-01-11,50.29378890991211,,19.36000061035156,12.39706325531006,48.349998474121094,16.149999618530273,34.58390426635742,24.8700008392334,14.148917198181152
2017-01-12,50.0169792175293,,19.36000061035156,12.170975685119627,47.33000183105469,15.899999618530273,34.07147979736328,24.96999931335449,14.148917198181152
2017-01-13,50.51333618164063,,19.920000076293945,12.170975685119627,47.41999816894531,16.25,34.85462188720703,26.0,14.148917198181152
2017-01-17,51.21013641357422,,20.21999931335449,12.208658218383787,46.88000106811523,15.850000381469727,34.119823455810554,26.6200008392334,14.367843627929688
2017-01-18,50.847412109375,,20.200000762939453,11.681124687194824,47.13999938964844,16.75,34.18749237060547,26.649999618530273,14.367843627929688
2017-01-19,50.52288436889648,,19.71999931335449,11.718805313110352,46.38999938964844,16.25,32.998279571533196,26.56999969482422,14.367843627929688
2017-01-20,50.78060913085938,,19.51000022888184,11.794166564941404,46.88999938964844,16.0,33.317344665527344,26.5049991607666,14.34011936187744
2017-01-23,50.81878280639648,,18.8700008392334,11.568081855773926,46.93000030517578,16.25,33.07562255859375,26.57999992370605,14.23495864868164
2017-01-24,51.01922607421875,,19.100000381469727,11.83184814453125,47.34000015258789,16.450000762939453,34.39052581787109,27.70000076293945,14.23495864868164
2017-01-25,51.41058731079102,,19.299999237060547,11.75648593902588,47.2599983215332,17.200000762939453,34.89328384399414,28.63500022888184,14.354459762573242
2017-01-26,51.21013641357422,,19.280000686645508,11.718805313110352,46.58000183105469,16.299999237060547,32.756576538085945,28.38999938964844,14.354459762573242
2017-01-27,50.77105331420898,,18.71999931335449,11.718805313110352,46.06000137329102,16.350000381469727,32.853260040283196,28.145000457763672,14.23495864868164
2017-01-30,50.66606903076172,,18.459999084472656,11.718805313110352,45.9900016784668,16.850000381469727,32.340835571289055,27.84499931335449,14.17568588256836
2017-01-31,50.49424362182617,,18.670000076293945,11.60576057434082,45.70000076293945,17.350000381469727,33.336669921875,28.10000038146973,14.17568588256836
2017-02-01,50.60879516601562,,18.46999931335449,11.492717742919922,45.7400016784668,17.100000381469727,33.63639450073242,28.22500038146973,14.17568588256836
2017-02-02,50.3987922668457,,18.86000061035156,11.417356491088867,45.66999816894531,16.549999237060547,33.984458923339844,28.209999084472656,14.17568588256836
2017-02-03,49.97880172729492,,18.780000686645508,11.60576057434082,45.790000915527344,17.149999618530273,32.72757339477539,28.29999923706055,14.17568588256836
2017-02-06,50.3987922668457,,18.530000686645508,11.643442153930664,45.709999084472656,16.799999237060547,31.373985290527344,27.95000076293945,14.177597045898438
2017-02-07,50.4083366394043,,17.940000534057614,11.60576057434082,45.599998474121094,16.75,30.987253189086914,28.479999542236328,14.177597045898438
2017-02-08,51.42967224121094,,18.11000061035156,11.907209396362305,45.58000183105469,17.100000381469727,31.10326957702637,28.82500076293945,14.177597045898438
2017-02-09,52.79464721679688,,18.940000534057614,12.057933807373047,45.5,16.899999618530273,30.62952423095703,29.520000457763672,14.177597045898438
2017-02-10,53.66326522827149,,19.520000457763672,12.09561538696289,45.6500015258789,17.100000381469727,31.63503456115723,29.9950008392334,14.177597045898438
2017-02-13,53.53917694091797,,19.059999465942386,11.83184814453125,45.56999969482422,17.049999237060547,32.650218963623054,29.979999542236328,14.177597045898438
2017-02-14,53.88279724121094,,18.88999938964844,10.889822959899902,45.47999954223633,17.0,32.58253860473633,30.07500076293945,14.16803741455078
2017-02-15,54.06415939331055,,18.799999237060547,10.626054763793944,45.70000076293945,17.25,32.601879119873054,30.864999771118164,14.225398063659668
2017-02-16,53.73007202148438,,18.65999984741211,10.286924362182617,45.58000183105469,16.899999618530273,32.53419876098633,30.53000068664551,14.225398063659668
2017-02-17,54.169151306152344,,19.1200008392334,10.098519325256348,44.31999969482422,17.399999618530273,32.640552520751946,30.614999771118164,14.225398063659668
2017-02-21,54.75141525268555,,19.31999969482422,10.17388153076172,45.02999877929688,17.75,33.220653533935554,30.56999969482422,14.231135368347168
2017-02-22,55.59139633178711,,19.0,10.362286567687988,44.58000183105469,14.800000190734865,33.588058471679695,30.3700008392334,14.231135368347168
2017-02-23,54.78005599975586,,19.1299991607666,10.060837745666504,43.59000015258789,15.5,33.781421661376946,29.70000076293945,14.231135368347168
2017-02-24,55.22867965698242,,19.3700008392334,10.17388153076172,44.25,15.600000381469727,34.04246139526367,28.36000061035156,14.231135368347168
2017-02-27,55.06640625,,19.030000686645508,10.437649726867676,43.72000122070313,16.450000762939453,34.34218978881836,28.59499931335449,14.231135368347168
2017-02-28,54.56051254272461,,18.459999084472656,10.136201858520508,43.04999923706055,16.100000381469727,33.91678237915039,28.2450008392334,14.231135368347168
